Infinitive,Simple Past,Past Participle,Dutch,
awake,awoke,awoken,wekken,
be,"was, were",been,zijn,
bear,bore,born,verdragen,
beat,beat,beaten,slaan,
become,became,become,worden,
begin,began,begun,beginnen,
bend,bent,bent,buigen,
beset,beset,beset,bestoken,
bet,bet,bet,gokken,
bid,bid,bid,bieden,
bid (farewell),bade ,bidden,zeggen,
bind,bound,bound,binden,
bite,bit,bitten,bijten,
bleed,bled,bled,bloeden,
blow,blew,blown,blazen,
break,broke,broken,breken,
breed,bred,bred,kweken,
bring,brought,brought,brengen,
broadcast,broadcast,broadcast,zenden,
build,built,built,bouwen,
burn,burnt,burnt,branden,
burst,burst,burst,barsten,
buy,bought,bought,kopen,
cast,cast,cast,afwerpen,
catch,caught,caught,vangen,
choose,chose,chosen,kiezen,
cling,clung,clung,vastklampen,
come,came,come,komen,
cost,cost,cost,kosten,
creep,crept,crept,kruipen,
cut,cut,cut,snijden,
deal,dealt,dealt,verdelen,
dig,dug,dug,graven,
dive,dove,dived,duiken,
do,did,done,doen,
draw,drew,drawn,tekenen,
dream,dreamt,dreamt,dromen,
drive,drove,driven,rijden,
drink,drank,drunk,drinken,
eat,ate,eaten,eten,
fall,fell,fallen,vallen,
feed,fed,fed,voeden,
feel,felt,felt,voelen,
fight,fought,fought,vechten,
find,found,found,vinden,
fit,fit,fit,passen,
flee,fled,fled,vluchten,
fling,flung,flung,werpen,
fly,flew,flown,vliegen,
forbid,forbade,forbidden,verbieden,
forget,forgot,forgotten,vergeten,
forego (forgo),forewent,foregone,voorafgaan,
forgive,forgave,forgiven,vergeven,
forsake,forsook,forsaken,verlaten,
freeze,froze,frozen,vriezen,
get,got,gotten,krijgen,
give,gave,given,geven,
go,went,gone,gaan,
grind,ground,ground,malen,
grow,grew,grown,groeien,
hang,hung,hung,hangen,
hear,heard,heard,horen,
hide,hid,hidden,verbergen,
hit,hit,hit,slaan,
hold,held,held,vasthouden,
hurt,hurt,hurt,kwetsen,
keep,kept,kept,houden,
kneel,knelt,knelt,knielen,
knit,knit,knit,breien,
know,knew,known,weten,
lay,laid,laid,leggen,
lead,led,led,leiden,
leap,leapt,leapt,springen,
learn,learnt,learnt,leren,
leave,left,left,verlaten,
lend,lent,lent,lenen,
let,let,let,verhuren,
lie,lay,lain,liggen,
light,lit,lit,aansteken,
lose,lost,lost,verliezen,
make,made,made,maken,
mean,meant,meant,bedoelen,
meet,met,met,ontmoeten,
misspell,misspelt,misspelt,verkeerd spellen,
mistake,mistook,mistaken,vergissen,
mow,mowed,mown,maaien,
overcome,overcame,overcome,overwinnen,
overdo,overdid,overdone,overdrijven,
overtake,overtook,overtaken,inhalen,
overthrow,overthrew,overthrown,ten val brengen,
pay,paid,paid,betalen,
plead,pled/pleaded,pled/pleaded,pleiten,
prove,proved,proven,bewijzen,
put,put,put,plaatsen,
quit,quit,quit,ophouden/stoppen,
read,read,read,lezen,
rid,rid,rid,afhelpen,
ride,rode,ridden,rijden,paard of fiets
ring,rang,rung,bellen,
rise,rose,risen,omhooggaan,
run,ran,run,rennen,
saw,sawed,sawn,zagen,
say,said,said,zeggen,
see,saw,seen,zien,
seek,sought,sought,zoeken,
sell,sold,sold,verkopen,
send,sent,sent,sturen,
set,set,set,zetten,
sew,sewed,sewn,naaien,
shake,shook,shaken,schudden,
shave,shaved,shaven,scheren,
shear,shore,shorn,scheren,
shed,shed,shed,afwerpen,
shine,shone,shone,schijnen,
shoe,shod,shod,beslaan,
shoot,shot,shot,schieten,
show,showed,shown,laten zien,
shrink,shrank,shrunk,krimpen,
shut,shut,shut,sluiten,
sing,sang,sung,zingen,
sink,sank,sunk,zinken,
sit,sat,sat,zitten,
sleep,slept,slept,slapen,
slay,slew,slain,doden,
slide,slid,slid,glijden,
sling,slung,slung,smijten,
slit,slit,slit,insnijden,
smite,smote,smitten,kastijden,
sow,sowed,sown,zaaien,
speak,spoke,spoken,spreken,
speed,sped,sped,snellen,
spend,spent,spent,spenderen,
spill,spilt,spilt,verspillen,
spin,spun,spun,tollen,
spit,spat,spit,spugen,
split,split,split,splijten,
spread,spread,spread,spreiden,
spring,sprang/sprung,sprung,ontspruiten,
stand,stood,stood,staan,
steal,stole,stolen,stelen,
stick,stuck,stuck,plakken,
sting,stung,stung,steken,
stink,stank,stunk,stinken,
stride,strode,stridden,lopen,
strike,struck,struck,raken,
string,strung,strung,rijgen,
strive,strove,striven,streven,
swear,swore,sworn,zweren,
sweep,swept,swept,vegen,
swell,swelled,swollen,zwellen,
swim,swam,swum,zwemmen,
swing,swung,swung,slingeren,
take,took,taken,nemen,
teach,taught,taught,onderwijzen ,
tear,tore,torn,scheuren,
tell,told,told,vertellen,
think,thought,thought,denken,
thrive,throve,thrived,bloeien,
throw,threw,thrown,werpen,
thrust,thrust,thrust,stoten,
tread,trod,trodden,betreden,
understand,understood,understood,begrijpen,
uphold,upheld,upheld,rechthouden,
upset,upset,upset,van streek maken,
wake,woke,woken,wekken,
wear,wore,worn,dragen,
weave,wove,woven,weven,
wed,wed,wed,trouwen,
weep,wept,wept,huilen,
wind,wound,wound,opwinden ,
win,won,won,winnen,
withhold,withheld,withheld,achterhouden,
withstand,withstood,withstood,weerstaan,
wring,wrung,wrung,wringen,
write,wrote,written,schrijven,
